archivo,tipo,angulo,formato,medidas,uso,titular,texto_primario,cta,url_destino
ejemplo-agentes-ia_dolor_1x1.png,imagen,dolor,1x1,1080x1080,Feed cuadrado,Contestas a las 6 horas. Tu cliente ya compró.,"El cliente no se fue por precio. Se fue porque contestaste tarde.

En 14 días puedes tener un agente que responde en segundos, califica y agenda solo. Sin programar.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_dolor_4x5.png,imagen,dolor,4x5,1080x1350,Feed vertical (mejor rendimiento),Contestas a las 6 horas. Tu cliente ya compró.,"El cliente no se fue por precio. Se fue porque contestaste tarde.

En 14 días puedes tener un agente que responde en segundos, califica y agenda solo. Sin programar.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_dolor_9x16.png,imagen,dolor,9x16,1080x1920,Historias y Reels,Contestas a las 6 horas. Tu cliente ya compró.,"El cliente no se fue por precio. Se fue porque contestaste tarde.

En 14 días puedes tener un agente que responde en segundos, califica y agenda solo. Sin programar.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_resultado_1x1.png,imagen,resultado,1x1,1080x1080,Feed cuadrado,De 6 horas a 3 minutos de respuesta,"No es un chatbot con respuestas genéricas.

Es un agente que conoce tus precios, califica al cliente y le llena el calendario mientras tú trabajas en lo que sí paga.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_resultado_4x5.png,imagen,resultado,4x5,1080x1350,Feed vertical (mejor rendimiento),De 6 horas a 3 minutos de respuesta,"No es un chatbot con respuestas genéricas.

Es un agente que conoce tus precios, califica al cliente y le llena el calendario mientras tú trabajas en lo que sí paga.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_resultado_9x16.png,imagen,resultado,9x16,1080x1920,Historias y Reels,De 6 horas a 3 minutos de respuesta,"No es un chatbot con respuestas genéricas.

Es un agente que conoce tus precios, califica al cliente y le llena el calendario mientras tú trabajas en lo que sí paga.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_objecion_1x1.png,imagen,objecion,1x1,1080x1080,Feed cuadrado,Sin programar. En serio.,"«Es que yo no sé de código.»

Ni falta. Todo el curso es visual. 24 clases, cada una termina con algo funcionando.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_objecion_4x5.png,imagen,objecion,4x5,1080x1350,Feed vertical (mejor rendimiento),Sin programar. En serio.,"«Es que yo no sé de código.»

Ni falta. Todo el curso es visual. 24 clases, cada una termina con algo funcionando.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_objecion_9x16.png,imagen,objecion,9x16,1080x1920,Historias y Reels,Sin programar. En serio.,"«Es que yo no sé de código.»

Ni falta. Todo el curso es visual. 24 clases, cada una termina con algo funcionando.",Más información,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_carrusel_01.png,carrusel,slide-1,1x1,1080x1080,Carrusel,Contestas tarde. El cliente ya compró.,,,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_carrusel_02.png,carrusel,slide-2,1x1,1080x1080,Carrusel,No es tu oferta. Es que dependes de estar despierto.,,,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_carrusel_03.png,carrusel,slide-3,1x1,1080x1080,Carrusel,El Sistema de 3 Capas,,,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_carrusel_04.png,carrusel,slide-4,1x1,1080x1080,Carrusel,24 clases. 5 módulos. 3 bonus.,,,https://pay.hotmart.com/EJEMPLO-CAMBIAR
ejemplo-agentes-ia_carrusel_05.png,carrusel,slide-5,1x1,1080x1080,Carrusel,$47,,,https://pay.hotmart.com/EJEMPLO-CAMBIAR
