archivo,tipo,angulo,formato,medidas,uso,titular,texto_primario,cta,url_destino
canva-branding-emprendedores_dolor_1x1.png,imagen,dolor,1x1,1080x1080,Feed cuadrado,"Tu marca se ve
igual a la de todos","Abres Canva, buscas una plantilla y la usas tal cual.

El problema: la está usando también tu competencia.

En 24 clases cortas armas tu propio sistema de marca — para que cada diseño se vea tuyo, no de plantilla.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_dolor_4x5.png,imagen,dolor,4x5,1080x1350,Feed vertical (mejor rendimiento),"Tu marca se ve
igual a la de todos","Abres Canva, buscas una plantilla y la usas tal cual.

El problema: la está usando también tu competencia.

En 24 clases cortas armas tu propio sistema de marca — para que cada diseño se vea tuyo, no de plantilla.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_dolor_9x16.png,imagen,dolor,9x16,1080x1920,Historias y Reels,"Tu marca se ve
igual a la de todos","Abres Canva, buscas una plantilla y la usas tal cual.

El problema: la está usando también tu competencia.

En 24 clases cortas armas tu propio sistema de marca — para que cada diseño se vea tuyo, no de plantilla.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_resultado_1x1.png,imagen,resultado,1x1,1080x1080,Feed cuadrado,"De una hora por post
a 5 minutos","No es aprender ""más trucos de Canva"".

Es construir tu Kit de Marca una vez — logo, colores, tipografías — para que cada diseño nuevo salga coherente en minutos, no en horas.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_resultado_4x5.png,imagen,resultado,4x5,1080x1350,Feed vertical (mejor rendimiento),"De una hora por post
a 5 minutos","No es aprender ""más trucos de Canva"".

Es construir tu Kit de Marca una vez — logo, colores, tipografías — para que cada diseño nuevo salga coherente en minutos, no en horas.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_resultado_9x16.png,imagen,resultado,9x16,1080x1920,Historias y Reels,"De una hora por post
a 5 minutos","No es aprender ""más trucos de Canva"".

Es construir tu Kit de Marca una vez — logo, colores, tipografías — para que cada diseño nuevo salga coherente en minutos, no en horas.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_objecion_1x1.png,imagen,objecion,1x1,1080x1080,Feed cuadrado,"No necesitas saber
de diseño","«Es que yo no tengo ojo para el diseño.»

Por eso el curso arranca con estrategia, no con estética. 24 clases cortas, cada una termina con algo construido.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_objecion_4x5.png,imagen,objecion,4x5,1080x1350,Feed vertical (mejor rendimiento),"No necesitas saber
de diseño","«Es que yo no tengo ojo para el diseño.»

Por eso el curso arranca con estrategia, no con estética. 24 clases cortas, cada una termina con algo construido.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_objecion_9x16.png,imagen,objecion,9x16,1080x1920,Historias y Reels,"No necesitas saber
de diseño","«Es que yo no tengo ojo para el diseño.»

Por eso el curso arranca con estrategia, no con estética. 24 clases cortas, cada una termina con algo construido.",Más información,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_carrusel_01.png,carrusel,slide-1,1x1,1080x1080,Carrusel,Tu marca se ve igual a la de todos.,,,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_carrusel_02.png,carrusel,slide-2,1x1,1080x1080,Carrusel,No es falta de gusto. Es falta de sistema.,,,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_carrusel_03.png,carrusel,slide-3,1x1,1080x1080,Carrusel,El Sistema ADN de Marca,,,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_carrusel_04.png,carrusel,slide-4,1x1,1080x1080,Carrusel,6 módulos. 24 clases. 4 bonus.,,,https://CAMBIAR-tu-link-de-pago.com
canva-branding-emprendedores_carrusel_05.png,carrusel,slide-5,1x1,1080x1080,Carrusel,$35,,,https://CAMBIAR-tu-link-de-pago.com
